"filename", "language", "XML", "JSON", "YAML", "MS SQL", "Java Properties", "Batch", "Java", "comment", "blank", "total"
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ChatMessage.java", "Java", 0, 0, 0, 0, 0, 0, 45, 0, 9, 54
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ChatSession.java", "Java", 0, 0, 0, 0, 0, 0, 49, 0, 9, 58
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\GlobalPaper.java", "Java", 0, 0, 0, 0, 0, 0, 61, 0, 19, 80
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\Keyword.java", "Java", 0, 0, 0, 0, 0, 0, 33, 0, 6, 39
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ModelRole.java", "Java", 0, 0, 0, 0, 0, 0, 8, 1, 3, 12
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\PaperChunk.java", "Java", 0, 0, 0, 0, 0, 0, 57, 0, 12, 69
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\PaperCitation.java", "Java", 0, 0, 0, 0, 0, 0, 40, 0, 9, 49
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\PaperSummary.java", "Java", 0, 0, 0, 0, 0, 0, 47, 0, 11, 58
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\RefreshToken.java", "Java", 0, 0, 0, 0, 0, 0, 61, 0, 13, 74
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ResearchCollection.java", "Java", 0, 0, 0, 0, 0, 0, 51, 0, 9, 60
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ResearchPaper.java", "Java", 0, 0, 0, 0, 0, 0, 73, 0, 17, 90
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\User.java", "Java", 0, 0, 0, 0, 0, 0, 75, 0, 17, 92
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\UserIdentity.java", "Java", 0, 0, 0, 0, 0, 0, 50, 0, 13, 63
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\AuthTokenRepository.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 8, 18
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\AuthorRepository.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 6, 16
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ChatMessageRepository.java", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 9, 20
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ChatSessionRepository.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 7, 16
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\CitiationRepository.java", "Java", 0, 0, 0, 0, 0, 0, 13, 0, 8, 21
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\GlobalPaperRepository.java", "Java", 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\KeywordRepository.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 6, 16
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\PaperChunkRepository.java", "Java", 0, 0, 0, 0, 0, 0, 23, 0, 6, 29
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\PaperSummaryRepository.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 6, 12
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\RefreshTokenRepository.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 13, 29
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ResearchCollectionRepository.java", "Java", 0, 0, 0, 0, 0, 0, 13, 0, 7, 20
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ResearchPaperRepository.java", "Java", 0, 0, 0, 0, 0, 0, 28, 0, 9, 37
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\UserIdentityRepository.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 12, 28
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 14, 0, 10, 24
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\AuthMailService.java", "Java", 0, 0, 0, 0, 0, 0, 72, 0, 25, 97
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\AuthService.java", "Java", 0, 0, 0, 0, 0, 0, 139, 1, 38, 178
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\AuthTokenService.java", "Java", 0, 0, 0, 0, 0, 0, 97, 0, 29, 126
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\CitationService.java", "Java", 0, 0, 0, 0, 0, 0, 102, 0, 24, 126
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\CurrentUserResolver.java", "Java", 0, 0, 0, 0, 0, 0, 29, 0, 11, 40
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\EmailSenderService.java", "Java", 0, 0, 0, 0, 0, 0, 34, 1, 7, 42
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\FileStorageService.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 7, 16
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\GeminiService.java", "Java", 0, 0, 0, 0, 0, 0, 105, 0, 20, 125
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\GlobalPaperService.java", "Java", 0, 0, 0, 0, 0, 0, 149, 0, 34, 183
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\GoogleTokenVerifier.java", "Java", 0, 0, 0, 0, 0, 0, 29, 0, 11, 40
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\JwtService.java", "Java", 0, 0, 0, 0, 0, 0, 51, 0, 15, 66
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperChatService.java", "Java", 0, 0, 0, 0, 0, 0, 101, 2, 22, 125
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperChunkService.java", "Java", 0, 0, 0, 0, 0, 0, 68, 6, 17, 91
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperComparisonService.java", "Java", 0, 0, 0, 0, 0, 0, 38, 0, 15, 53
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperSummaryService.java", "Java", 0, 0, 0, 0, 0, 0, 116, 1, 34, 151
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PdfService.java", "Java", 0, 0, 0, 0, 0, 0, 42, 0, 16, 58
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PromptService.java", "Java", 0, 0, 0, 0, 0, 0, 137, 0, 38, 175
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\RefreshTokenService.java", "Java", 0, 0, 0, 0, 0, 0, 114, 1, 30, 145
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\ResearchCollectionService.java", "Java", 0, 0, 0, 0, 0, 0, 124, 0, 31, 155
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\ResearchPaperService.java", "Java", 0, 0, 0, 0, 0, 0, 324, 0, 81, 405
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\ResearchSummaryService.java", "Java", 0, 0, 0, 0, 0, 0, 3, 3, 3, 9
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\SupabaseFileStoreService.java", "Java", 0, 0, 0, 0, 0, 0, 76, 0, 28, 104
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\UserIdentityService.java", "Java", 0, 0, 0, 0, 0, 0, 158, 0, 46, 204
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 155, 44, 41, 240
"d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\XMLParser.java", "Java", 0, 0, 0, 0, 0, 0, 66, 0, 27, 93
"d:\spring_projects\anveshak\backend\src\main\resources\META-INF\additional-spring-configuration-metadata.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\spring_projects\anveshak\backend\src\main\resources\application.yml", "YAML", 0, 0, 58, 0, 0, 0, 0, 0, 8, 66
"d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V1__create_user.sql", "MS SQL", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
