Date : 2026-07-16 11:22:39
Directory : d:\spring_projects\anveshak\backend
Total : 296 files,  10973 codes, 134 comments, 1609 blanks, all 12716 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\AuthMessageResponse.java                        | Java            |          3 |          0 |          2 |          5 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\AuthResponse.java                               | Java            |          5 |          0 |          3 |          8 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ChangePasswordRequest.java                      | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ChatMessageRequest.java                         | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ChatMessageResponse.java                        | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ChatSessionResponse.java                        | Java            |          5 |          0 |          4 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\CitationResponse.java                           | Java            |         11 |          0 |          3 |         14 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\CollectionLookupRequest.java                    | Java            |          4 |          0 |          3 |          7 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\CollectionPaperRequest.java                     | Java            |          4 |          0 |          3 |          7 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\EmbedRequest.java                               | Java            |          5 |          0 |          4 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\EmbedResponse.java                              | Java            |          7 |          0 |          6 |         13 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ErrorResponse.java                              | Java            |          8 |          0 |          4 |         12 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ForgotPasswordRequest.java                      | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\GlobalPaperDTO.java                             | Java            |         17 |          0 |          5 |         22 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\GoogleLoginRequest.java                         | Java            |          4 |          0 |          2 |          6 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\HarvestResult.java                              | Java            |          4 |          0 |          3 |          7 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\InnerPaperSummaryDTO.java                       | Java            |          9 |          0 |          3 |         12 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\LiteratureReview.java                           | Java            |         10 |          0 |          3 |         13 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\LiteratureReviewRequest.java                    | Java            |          4 |          0 |          3 |          7 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\LiteratureReviewResponse.java                   | Java            |          5 |          0 |          4 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\LoginRequest.java                               | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\NewChatSessionRequest.java                      | Java            |          4 |          0 |          3 |          7 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\NewCitationRequest.java                         | Java            |          6 |          0 |          4 |         10 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\NewCollectionRequest.java                       | Java            |          3 |          0 |          2 |          5 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\NewPaperRequest.java                            | Java            |          8 |          0 |          3 |         11 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\PaperChunkDTO.java                              | Java            |          8 |          0 |          3 |         11 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\PaperComparison.java                            | Java            |         11 |          0 |          3 |         14 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\PaperComparisonRequest.java                     | Java            |          4 |          0 |          2 |          6 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\PaperComparisonResponse.java                    | Java            |          5 |          0 |          4 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\PaperLookupRequest.java                         | Java            |          4 |          0 |          3 |          7 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\PaperSearchRequest.java                         | Java            |          3 |          0 |          2 |          5 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\PaperSummaryResponse.java                       | Java            |          5 |          0 |          3 |          8 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\RefreshTokenRequest.java                        | Java            |          6 |          0 |          2 |          8 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\RegisterRequest.java                            | Java            |         14 |          0 |          8 |         22 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ResearchCollectionResponse.java                 | Java            |         10 |          0 |          3 |         13 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ResearchPaperResponse.java                      | Java            |         15 |          0 |          3 |         18 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ResendVerificationTokenRequest.java             | Java            |          5 |          0 |          3 |          8 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\ResetPasswordRequest.java                       | Java            |          6 |          0 |          3 |          9 |
